faixa,bloco_validacao,quadro,temperatura,intensidade,calibracao,limiar,fator,classe,fracao_excluida,delta_e00
0,0,200,3800,1.0,sem,24.0,0.5,vermelho,0.958904109589,12.7412062512
0,0,200,3800,1.0,campo,24.0,0.5,amarelo,0.997347480106,0.0
0,0,200,3800,1.0,campo,24.0,0.5,azul,0.911554921541,0.162897943539
0,0,200,3800,1.0,campo,24.0,0.5,vermelho,0.958904109589,0.293580390701
0,0,200,3800,1.5,sem,24.0,0.5,amarelo,1.0,
0,0,200,3800,1.5,sem,24.0,0.5,azul,0.911554921541,20.0993396219
0,0,200,3800,1.5,sem,24.0,0.5,vermelho,0.986301369863,18.8581147093
0,0,200,3800,1.5,campo,24.0,0.5,amarelo,1.0,
0,0,200,3800,1.5,campo,24.0,0.5,azul,0.911554921541,3.28396866606
0,0,200,3800,1.5,campo,24.0,0.5,vermelho,0.986301369863,3.72302343288
0,0,400,2700,0.4,sem,24.0,0.5,amarelo,0.0,24.3249460862
0,0,400,2700,0.4,sem,24.0,0.5,azul,0.902995720399,42.7635242295
0,0,400,2700,0.4,sem,24.0,0.5,vermelho,0.027397260274,12.7122636056
0,0,400,2700,0.4,campo,24.0,0.5,amarelo,0.0,0.344344695963
0,0,400,2700,0.4,campo,24.0,0.5,azul,0.902995720399,0.237750140088
0,0,400,2700,0.4,campo,24.0,0.5,vermelho,0.027397260274,0.243910845362
0,0,400,2700,1.0,sem,24.0,0.5,amarelo,1.0,
0,0,400,2700,1.0,sem,24.0,0.5,azul,0.902995720399,40.2919290598
0,0,400,2700,1.0,sem,24.0,0.5,vermelho,0.986301369863,20.2168259834
0,0,400,2700,1.0,campo,24.0,0.5,amarelo,1.0,
0,0,400,2700,1.0,campo,24.0,0.5,azul,0.902995720399,3.22482898116
0,0,400,2700,1.0,campo,24.0,0.5,vermelho,0.986301369863,3.66229594973
0,0,400,2700,1.5,sem,24.0,0.5,amarelo,1.0,
0,0,400,2700,1.5,sem,24.0,0.5,azul,0.902995720399,42.8192191074
0,0,400,2700,1.5,sem,24.0,0.5,vermelho,1.0,
0,0,400,2700,1.5,campo,24.0,0.5,amarelo,1.0,
0,0,400,2700,1.5,campo,24.0,0.5,azul,0.902995720399,3.31712451498
0,0,400,2700,1.5,campo,24.0,0.5,vermelho,1.0,
0,0,400,3200,0.4,sem,24.0,0.5,amarelo,0.0,22.0094357447
0,0,400,3200,0.4,sem,24.0,0.5,azul,0.902995720399,34.7455818157
0,0,400,3200,0.4,sem,24.0,0.5,vermelho,0.027397260274,12.9102644685
0,0,400,3200,0.4,campo,24.0,0.5,amarelo,0.0,0.416104321155
0,0,400,3200,0.4,campo,24.0,0.5,azul,0.902995720399,0.195132328257
0,0,400,3200,0.4,campo,24.0,0.5,vermelho,0.027397260274,0.463565051948
0,0,400,3200,1.0,sem,24.0,0.5,amarelo,1.0,
0,0,400,3200,1.0,sem,24.0,0.5,azul,0.902995720399,28.5339894942
0,0,400,3200,1.0,sem,24.0,0.5,vermelho,0.986301369863,15.3941552943
0,0,400,3200,1.0,campo,24.0,0.5,amarelo,1.0,
0,0,400,3200,1.0,campo,24.0,0.5,azul,0.902995720399,0.863390196126
0,0,400,3200,1.0,campo,24.0,0.5,vermelho,0.986301369863,0.87530698141
0,0,400,3200,1.5,sem,24.0,0.5,amarelo,1.0,
0,0,400,3200,1.5,sem,24.0,0.5,azul,0.902995720399,29.9718453984
0,0,400,3200,1.5,sem,24.0,0.5,vermelho,1.0,
0,0,400,3200,1.5,campo,24.0,0.5,amarelo,1.0,
0,0,400,3200,1.5,campo,24.0,0.5,azul,0.902995720399,3.80771598782
0,0,400,3200,1.5,campo,24.0,0.5,vermelho,1.0,
0,0,400,3800,0.4,sem,24.0,0.5,amarelo,0.0,20.5498005908
0,0,400,3800,0.4,sem,24.0,0.5,azul,0.902995720399,28.3709008861
0,0,400,3800,0.4,sem,24.0,0.5,vermelho,0.027397260274,13.9137345872
0,0,400,3800,0.4,campo,24.0,0.5,amarelo,0.0,0.349020828745
0,0,400,3800,0.4,campo,24.0,0.5,azul,0.902995720399,0.110364533556
0,0,400,3800,0.4,campo,24.0,0.5,vermelho,0.027397260274,0.421726282339
0,0,400,3800,1.0,sem,24.0,0.5,amarelo,0.997347480106,13.011481293
0,0,400,3800,1.0,sem,24.0,0.5,azul,0.902995720399,18.3505737959
0,0,400,3800,1.0,sem,24.0,0.5,vermelho,0.945205479452,11.7096680656
0,0,400,3800,1.0,campo,24.0,0.5,amarelo,0.997347480106,0.0
0,0,400,3800,1.0,campo,24.0,0.5,azul,0.902995720399,0.156155310439
0,0,400,3800,1.0,campo,24.0,0.5,vermelho,0.945205479452,0.461786775351
0,0,400,3800,1.5,sem,24.0,0.5,amarelo,1.0,
0,0,400,3800,1.5,sem,24.0,0.5,azul,0.902995720399,19.8125154467
0,0,400,3800,1.5,sem,24.0,0.5,vermelho,0.986301369863,18.2019538378
0,0,400,3800,1.5,campo,24.0,0.5,amarelo,1.0,
0,0,400,3800,1.5,campo,24.0,0.5,azul,0.902995720399,3.30512888028
0,0,400,3800,1.5,campo,24.0,0.5,vermelho,0.986301369863,4.17725312954
0,0,600,2700,0.4,sem,24.0,0.5,amarelo,0.0,24.3295419518
0,0,600,2700,0.4,sem,24.0,0.5,azul,0.904422253923,42.6056415997
0,0,600,2700,0.4,sem,24.0,0.5,vermelho,0.013698630137,12.2578153343
0,0,600,2700,0.4,campo,24.0,0.5,amarelo,0.0,0.332601806935
0,0,600,2700,0.4,campo,24.0,0.5,azul,0.904422253923,0.27878724288
0,0,600,2700,0.4,campo,24.0,0.5,vermelho,0.013698630137,0.261069237081
0,0,600,2700,1.0,sem,24.0,0.5,amarelo,1.0,
0,0,600,2700,1.0,sem,24.0,0.5,azul,0.904422253923,39.9150885356
0,0,600,2700,1.0,sem,24.0,0.5,vermelho,0.986301369863,20.1576368322
0,0,600,2700,1.0,campo,24.0,0.5,amarelo,1.0,
0,0,600,2700,1.0,campo,24.0,0.5,azul,0.904422253923,3.0089276554
0,0,600,2700,1.0,campo,24.0,0.5,vermelho,0.986301369863,4.23677869334
0,0,600,2700,1.5,sem,24.0,0.5,amarelo,1.0,
0,0,600,2700,1.5,sem,24.0,0.5,azul,0.904422253923,42.1308823041
0,0,600,2700,1.5,sem,24.0,0.5,vermelho,1.0,
0,0,600,2700,1.5,campo,24.0,0.5,amarelo,1.0,
0,0,600,2700,1.5,campo,24.0,0.5,azul,0.904422253923,3.03199691387
0,0,600,2700,1.5,campo,24.0,0.5,vermelho,1.0,
0,0,600,3200,0.4,sem,24.0,0.5,amarelo,0.0,22.0048063811
